UFID,Set,Year,Project,LoadSlope,AvgShortLength,SWGarea,AngusGBC,BrahmanGBC
100157,1,2016,Semin,21.3278615,6.341,NA,0.629029,0.370971
100158,1,2016,Semin,20.0428008,9.7072,NA,0.731626,0.268374
100159,1,2016,Semin,36.7693161,7.892,NA,0.609023,0.390977
100160,1,2016,Semin,18.0841197,10.6412,NA,0.791207,0.208793
100161,1,2016,Semin,22.6543757,8.9848,NA,0.798786,0.201214
100162,1,2016,Semin,25.1415898,10.355,NA,0.641879,0.358121
100163,1,2016,Semin,32.2716038,12.3192,NA,0.755976,0.244024
100164,1,2016,Semin,28.447512,9.4202,NA,0.711446,0.288554
100165,1,2016,Semin,26.4577407,8.5698,NA,0.711585,0.288415
100166,1,2016,Semin,27.1313612,8.324,NA,0.793306,0.206694
100167,1,2016,Semin,24.5508765,7.2652,NA,0.678745,0.321255
100168,1,2016,Semin,22.6232855,9.6084,NA,0.682281,0.317719
100169,1,2016,Semin,26.4784675,11.7582,NA,0.791426,0.208574
100170,1,2016,Semin,35.5464358,8.1104,NA,0.790541,0.209459
100171,1,2016,Semin,33.6084814,5.4646,NA,0.811436,0.188564
100172,1,2016,Semin,14.1874841,6.2092,NA,0.903834,0.096166
100173,1,2016,Semin,29.0589522,6.8348,NA,0.696652,0.303348
100174,1,2016,Semin,33.6292082,5.6524,NA,0.723708,0.276292
100175,1,2016,Semin,23.9187096,10.5772,NA,0.679171,0.320829
100176,1,2016,Semin,23.8668926,7.6704,NA,0.775019,0.224981
100177,1,2016,Semin,33.598118,9.0926,NA,0.724627,0.275373
100178,1,2016,Semin,23.8876194,9.2814,NA,0.765883,0.234117
100179,1,2016,Semin,36.1578759,7.2636,NA,0.814298,0.185702
100180,1,2016,Semin,22.6543757,6.1894,NA,0.715251,0.284749
100181,1,2016,Semin,28.4164218,7.3226,NA,0.802521,0.197479
100182,1,2016,Semin,21.3589516,9.4234,NA,0.78687,0.21313
100183,1,2016,Semin,18.7370134,11.6722,NA,0.751006,0.248994
100184,1,2016,Semin,23.8979828,13.9636,NA,0.798537,0.201463
100185,1,2016,Semin,23.877256,10.9178,NA,0.707077,0.292923
100186,1,2016,Semin,22.6129221,6.9246,NA,0.710225,0.289775
100187,1,2016,Semin,22.5921953,6.9984,NA,0.668475,0.331525
100188,1,2016,Semin,32.9763145,7.231,NA,0.754466,0.245534
100189,1,2016,Semin,23.2347257,6.7414,NA,0.739127,0.260873
100190,1,2016,Semin,13.5553172,7.0808,NA,0.486734,0.513266
100191,1,2016,Semin,28.4060584,5.3042,NA,0.728279,0.271721
100192,1,2016,Semin,29.7118459,7.9998,NA,0.79187,0.20813
100194,1,2016,Semin,23.2761792,8.3644,NA,0.266928,0.733072
100195,1,2016,Semin,21.9289382,8.2828,NA,0.695878,0.304122
100196,1,2016,Semin,21.3071347,6.4882,NA,0.734162,0.265838
100197,1,2016,Semin,30.9865431,8.814,NA,0.829688,0.170312
100199,1,2016,Semin,25.17268,7.118,NA,0.7583,0.2417
100200,1,2016,Semin,NA,7.363,NA,0.625124,0.374876
110001,11,2018,Semin,24.2409056,6.1886,194.8,0.739392,0.260608
110003,11,2018,Semin,40.4364285,7.4122,308.16,0.730406,0.269594
110004,11,2018,Semin,45.0771896,6.2286,380.75,0.781391,0.218609
110005,11,2018,Semin,38.5193646,5.0986,111.96,0.61828,0.38172
110006,11,2018,Semin,28.085509,5.1152,164.74,0.699656,0.300344
110007,11,2018,Semin,31.951064,6.1714,240.64,0.682922,0.317078
110008,11,2018,Semin,28.1378878,7.4768,222.84,0.716487,0.283513
110009,11,2018,Semin,34.6119067,6.0752,312.17,0.771518,0.228482
110010,11,2018,Semin,19.6106202,8.4288,226.22,0.591176,0.408824
110012,11,2018,Semin,25.4456178,15.1728,153.49,0.663961,0.336039
110013,11,2018,Semin,29.3530758,7.8196,346.06,0.51285,0.48715
110014,11,2018,Semin,36.549922,7.1126,246.75,0.73417,0.26583
110015,11,2018,Semin,37.985101,6.2184,413.48,0.651148,0.348852
110017,11,2018,Semin,43.1077469,8.2428,303.08,0.702587,0.297413
110018,11,2018,Semin,26.7760392,5.9132,62.57,0.563257,0.436743
110019,11,2018,Semin,24.136148,6.6932,241.57,0.727993,0.272007
110020,11,2018,Semin,33.2919611,7.1834,286.26,0.69665,0.30335
110021,11,2018,Semin,22.1876569,7.5286,332.16,0.771739,0.228261
110022,11,2018,Semin,27.4464877,7.2098,284.15,0.714323,0.285677
110023,11,2018,Semin,30.0444759,7.2618,310.29,0.665959,0.334041
110024,11,2018,Semin,28.1483636,7.0818,214.02,0.677803,0.322197
110025,11,2018,Semin,28.043606,5.7366,239.13,0.661779,0.338221
110026,11,2018,Semin,15.0222379,5.4144,105.47,0.59306,0.40694
110027,11,2018,Semin,29.4683092,8.2496,77.7,0.805204,0.194796
110028,11,2018,Semin,45.7057351,11.078,171.11,0.737765,0.262235
110029,11,2018,Semin,20.8886628,7.5768,206.66,0.629113,0.370887
110030,11,2018,Semin,15.0850925,12.305,195.52,0.723879,0.276121
110031,11,2018,Semin,33.9414581,8.0314,324.21,0.667043,0.332957
110032,11,2018,Semin,31.3225184,6.9176,212.87,0.686149,0.313851
110033,11,2018,Semin,41.8087529,9.3876,403.1,0.735427,0.264573
110034,11,2018,Semin,25.5713269,7.2508,284.96,0.751307,0.248693
110035,11,2018,Semin,27.4464877,6.6206,218.39,0.675907,0.324093
110037,11,2018,Semin,31.9301124,5.9726,253.76,0.681176,0.318824
110038,11,2018,Semin,30.170185,8.8152,247.33,0.734382,0.265618
110039,11,2018,Semin,30.0235244,8.9726,238.61,0.721152,0.278848
110040,11,2018,Semin,35.3033067,8.5742,205.26,0.6623,0.3377
110041,11,2018,Semin,37.2727494,5.6658,188.38,0.646879,0.353121
110042,11,2018,Semin,28.7035788,6.372,172.94,0.724287,0.275713
110043,11,2018,Semin,30.6834972,5.8378,157.59,0.68184,0.31816
110044,11,2018,Semin,24.785645,6.5586,426,0.775455,0.224545
110045,11,2018,Semin,24.1570995,6.1168,131.54,0.641657,0.358343
110046,11,2018,Semin,37.8593919,7.1116,266.62,0.760504,0.239496
110047,11,2018,Semin,15.713638,7.017,291.59,0.817008,0.182992
110048,11,2018,Semin,26.3151058,4.2436,284.29,0.663844,0.336156
110049,11,2018,Semin,29.3740273,7.0126,326.2,0.749995,0.250005
110050,11,2018,Semin,43.0972712,8.2498,159.25,0.64091,0.35909
110051,11,2018,Semin,41.8192286,6.6706,179.79,0.547022,0.452978
110053,11,2018,Semin,46.4180867,5.803,402.69,0.72426,0.27574
110054,11,2018,Semin,23.5390297,4.3536,528.65,0.596871,0.403129
110056,11,2018,Semin,28.7140545,4.9056,250.45,0.598092,0.401908
110057,11,2018,Semin,37.1679918,6.2912,174.59,0.801446,0.198554
110058,11,2018,Semin,29.3949788,5.6344,297.62,0.400289,0.599711
110059,11,2018,Semin,33.2814853,6.581,230.71,0.736618,0.263382
110060,11,2018,Semin,17.6307019,6.2784,233.51,0.530176,0.469824
110061,11,2018,Semin,52.2111812,6.0118,257.74,0.695176,0.304824
110062,11,2018,Semin,30.6939729,6.6362,477.56,0.635806,0.364194
110063,11,2018,Semin,33.3129126,6.2442,207.63,0.749687,0.250313
110064,11,2018,Semin,33.9309823,6.8928,392.95,0.756919,0.243081
110066,11,2018,Semin,37.8803434,6.0666,323.18,0.756724,0.243276
110067,11,2018,Semin,27.5617211,6.3932,415.37,0.55592,0.44408
110068,11,2018,Semin,30.0025728,5.0538,258.07,0.728617,0.271383
110069,11,2018,Semin,29.3635516,4.7332,425.74,0.642989,0.357011
110072,11,2018,Semin,25.4665693,5.7552,381.44,0.56776,0.43224
110073,11,2018,Semin,26.7550877,7.2266,204.37,0.535768,0.464232
110074,11,2018,Semin,28.085509,9.4414,214.46,0.778351,0.221649
110075,11,2018,Semin,41.7773256,6.6452,196.35,0.791447,0.208553
110076,11,2018,Semin,47.7589838,9.0164,260.22,0.825098,0.174902
110077,11,2018,Semin,30.6520699,6.7166,461.17,0.704778,0.295222
110079,11,2018,Semin,22.9733388,6.6946,291.04,0.753177,0.246823
110080,11,2018,Semin,37.2098948,5.9614,324.15,0.701596,0.298404
110081,11,2018,Semin,35.2299764,5.9894,286.81,0.760495,0.239505
110082,11,2018,Semin,18.9506474,8.3378,226.81,0.704421,0.295579
110083,11,2018,Semin,32.6319883,6.6306,231.44,0.699336,0.300664
110084,11,2018,Semin,24.8380238,6.9404,380.43,0.644365,0.355635
110085,11,2018,Semin,21.5381598,6.9476,170,0.795228,0.204772
110086,11,2018,Semin,13.7022923,6.5376,297.8,0.720341,0.279659
110088,11,2018,Semin,28.0959848,7.8432,259.93,0.737584,0.262416
110089,11,2018,Semin,28.0540817,5.8424,579.1,0.648634,0.351366
110091,11,2018,Semin,31.5215579,6.4452,254.74,0.782704,0.217296
110092,11,2018,Semin,29.3530758,7.6398,337.52,0.617324,0.382676
110093,11,2018,Semin,29.3321243,5.953,244.51,0.697408,0.302592
110095,11,2018,Semin,30.0549516,5.177,349.05,0.667132,0.332868
110097,11,2018,Semin,45.7476381,9.1744,333.43,0.824607,0.175393
110098,11,2018,Semin,34.6223824,5.3598,400.89,0.594214,0.405786
110099,11,2018,Semin,38.4879374,8.1542,153.22,0.791681,0.208319
110100,11,2018,Semin,38.5507919,5.692,337.53,0.70787,0.29213
110101,11,2018,Semin,35.2823552,6.6516,174.56,0.670718,0.329282
110102,11,2018,Semin,34.6328582,6.235,180.4,0.673225,0.326775
110103,11,2018,Semin,44.061041,7.4108,282.68,0.759668,0.240332
110104,11,2018,Semin,37.2308463,5.8746,70.71,0.66608,0.33392
110106,11,2018,Semin,26.9226998,NA,493.66,0.653113,0.346887
110107,11,2018,Semin,20.2496415,5.7434,294.12,0.603775,0.396225
110108,11,2018,Semin,33.2919611,6.9724,231.37,0.787705,0.212295
110109,11,2018,Semin,44.322935,17.0614,169.34,0.788782,0.211218
110110,11,2018,Semin,30.6206426,8.6388,385.28,0.730806,0.269194
110111,11,2018,Semin,28.7245303,6.4656,228.2,0.784568,0.215432
110113,11,2018,Semin,18.9192202,7.64,235.82,0.68318,0.31682
110114,11,2018,Semin,23.4761752,5.2406,316.8,0.67703,0.32297
110115,11,2018,Semin,30.0235244,5.8858,362.26,0.63079,0.36921
110116,11,2018,Semin,33.9205066,5.2888,283.58,0.719689,0.280311
110117,11,2018,Semin,33.511952,5.5306,263.62,0.651898,0.348102
110118,11,2018,Semin,23.6228358,6.3688,608.46,0.661688,0.338312
110120,11,2018,Semin,38.4774616,6.9614,198.25,0.791423,0.208577
110121,11,2018,Semin,36.5394463,5.776,273.34,0.522042,0.477958
110122,11,2018,Semin,50.9121872,6.8896,297.71,0.710226,0.289774
110123,11,2018,Semin,20.878187,7.391,202.62,0.697412,0.302588
110124,11,2018,Semin,24.7961208,7.0104,204.9,0.640392,0.359608
110125,11,2018,Semin,35.2509279,5.5264,247.08,0.613827,0.386173
110127,11,2018,Semin,38.5403162,6.7772,140.54,0.850593,0.149407
110128,11,2018,Semin,38.4879374,6.7764,316.42,0.777923,0.222077
110129,11,2018,Semin,43.6734379,5.2814,549.78,0.751122,0.248878
110130,11,2018,Semin,28.2531211,5.2814,242.01,0.764723,0.235277
110131,11,2018,Semin,42.3849196,NA,418.14,0.65029,0.34971
110132,11,2018,Semin,20.270593,NA,349.21,0.542426,0.457574
110135,11,2018,Semin,37.2203706,NA,376.39,0.796671,0.203329
110136,11,2018,Semin,39.8183587,NA,288.29,0.701652,0.298348
110137,11,2018,Semin,33.9624096,NA,365.41,0.711642,0.288358
110138,11,2018,Semin,43.2753591,NA,306.51,0.722414,0.277586
110140,11,2018,Semin,35.9109007,NA,356.97,0.702998,0.297002
110141,11,2018,Semin,37.2098948,NA,318.04,0.660014,0.339986
110142,11,2018,Semin,30.7044487,NA,220.82,0.73759,0.26241
110143,11,2018,Semin,44.406741,NA,286.98,0.783823,0.216177
110144,11,2018,Semin,43.7781955,NA,138.13,0.696896,0.303104
110145,11,2018,Semin,37.8070131,NA,158.36,0.81774,0.18226
110146,11,2018,Semin,40.3945255,NA,202.67,0.671154,0.328846
110147,11,2018,Semin,28.0750333,NA,141.65,0.783147,0.216853
110148,11,2018,Semin,37.2098948,NA,116.27,0.787251,0.212749
110149,11,2018,Semin,41.106877,NA,400.85,0.521622,0.478378
110150,11,2018,Semin,33.2919611,NA,251.26,0.647674,0.352326
110151,11,2018,Semin,28.7140545,NA,582.08,0.664936,0.335064
110152,11,2018,Semin,31.9824912,NA,412.21,0.650727,0.349273
110153,11,2018,Semin,29.3740273,NA,373.96,0.631672,0.368328
110154,11,2018,Semin,40.4678558,NA,754.23,0.79144,0.20856
110155,11,2018,Semin,24.136148,NA,436.26,0.817632,0.182368
110156,11,2018,Semin,41.1487801,NA,450.31,0.516832,0.483168
110157,11,2018,Semin,48.3037233,NA,307.93,0.76755,0.23245
110158,11,2018,Semin,15.6612592,NA,500.38,0.64991,0.35009
110159,11,2018,Semin,21.5381598,NA,491.09,0.321213,0.678787
110160,11,2018,Semin,27.4045847,NA,NA,0.665694,0.334306
110161,11,2018,Semin,27.4045847,NA,236.17,0.626919,0.373081
110162,11,2018,Semin,37.8593919,NA,181.08,0.752961,0.247039
110164,11,2018,Semin,22.1876569,NA,246.46,0.688126,0.311874
110165,11,2018,Semin,36.5708735,NA,230.22,0.587621,0.412379
110166,11,2018,Semin,28.1064605,NA,437.37,0.704064,0.295936
110167,11,2018,Semin,42.4792014,NA,596.11,0.684607,0.315393
